,id,parent,topic,page_content_en,page_content_fa
0,,,,,
1,48aef9cfb2512a63e78f4cf6fb60e4c3,بیمه تکمیلی زایمان چیست؟,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,"Another service of a supplementary insurance is birth insurance. Parents can use this insurance to cover a large part of the hospital and birth costs. There is no separate insurance for birth and the coverage of birth costs is one of the supplementary insurance coverages that individuals can benefit from. Supplementary insurance is offered in both individual and group policies. Because of the high damage coefficient of medical insurance, few companies take the risk of insuring individuals, but some companies like Saman Insurance, do. Although the individual insurance cost is a little higher than group insurance, it provides good and complete services. Individual Health Insurance of Saman can meet the needs of all classes with its various plans, coverages and prices. For example, you can choose a premium of 500 thousand rupees or 1 million thousand rupees per year. Before we introduce the plans, it is worth mentioning that you are covered by all insurance policies, such as general surgery, surgical procedures, medical tests, etc., but in this article, we will focus on the ceiling of birth coverage. For example, the economic plan of Saeman's individual insurance covers up to 1.5 million IR-Toman for birth. The selected plan of the individual health insurance of Saman pays for birth costs up to 2 million IRR. When you buy the special plan of iranian insurance, you can get up to 3 million IRR for the cost of birth. With a annual fee of 1,370,000 IR-Toman, you can enroll in the coverage up to a maximum of 5 million IR-Toman. And finally, you can get up to 5 million IR-Toman for a birth plan with a payment of 1 million xa0580 thousand rupees.",بیمه تکمیلی درمان یکی از خدمات بیمه ای است که افراد می توانند از آن استفاده کنند. بیمه تکمیلی به دو صورت انفرادی و گروهی ارائه می شود. بیمه تکمیلی به دلیل ضریب خسارت بالای بیمه های درمان کمتر شرکتی این ریسک را می پذیرد که افراد را به صورت انفرادی بیمه کند، اما بعضی شرکت ها مانند بیمه سامان، افراد را به صورت انفرادی بیمه می کنند. با اینکه هزینه بیمه درمان انفرادی کمی بالاتر از گروهی است، ولی خدمات خوب و کاملی را ارائه می دهد. بیمه درمان انفرادی سامان با طرح ها، پوشش ها و قیمت های متنوع، می تواند نیاز تمامی اقشار را برآورده کند.
2,7a2a7b037d8f1d83b7a079b2b96f9d8e,بیمه تکمیلی زایمان چیست؟,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,"Because of the high damage coefficient of medical insurance, few companies take the risk of insuring individuals, but some companies like Saman Insurance, do. Although the individual insurance cost is a little higher than group insurance, it provides good and complete services.",اگر قصد دارید به صورت انفرادی بیمه شوید، بهتر است از شرکت های بیمه درمان استفاده کنید.
3,5531a4bf6dfaa6954cf862c9ca6c7742,بیمه تکمیلی زایمان چیست؟,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,"Individual Health Insurance of Saman can meet the needs of all classes with its various plans, coverages and prices. For example, you can choose a premium of 500 thousand rupees or 1 million thousand rupees per year. Before we introduce the plans, it is worth mentioning that you are covered by all insurance policies, such as general surgery, surgical procedures, medical tests, etc., but in this article, we will focus on the ceiling of birth coverage. For example, the economic plan of Saeman's individual insurance covers up to 1.5 million IR-Toman for birth. The selected plan of the individual health insurance of Saman pays for birth costs up to 2 million IRR. When you buy the special plan of iranian insurance, you can get up to 3 million IRR for the cost of birth. With a annual fee of 1,370,000 IR-Toman, you can enroll in the coverage up to a maximum of 5 million IR-Toman. And finally, you can get up to 5 million IR-Toman for a birth plan with a payment of 1 million xa0580 thousand rupees.",بیمه درمان انفرادی سامان با طرح ها و پوشش های متنوع، می تواند نیاز تمامی اقشار را برآورده کند.
4,85b07577bb5183ea946a8d4b52a1c479,پوشش‌های بیمه تکمیلی زایمان,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,coverage for birth in a supplementary health insurance includes:--Prices of doctors xa0 hospital Prices of ultrasound Prices of prenatal care--Read more about xa0All about baby insurance!,بیمه درمان تکمیلی برای زایمان پوشش های مختلفی دارد.
5,060d1f1ccfb15100406b47159ca1d24d,شرایط دوره انتظار در بیمه درمان تکمیلی زایمان چگونه است؟,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,"Before you become pregnant, you should apply for the insurance. The insurance waiting period can range from 9 to 12 months.",برای استفاده از خدمات بیمه تکمیلی زایمان، لازم است بیمه گذار دوره انتظار بیمه را سپری کرده باشد. بازه این دوره انتظار بین 9 تا 12 xa0 ماه می تواند متغیر باشد به همین دلیل توصیه می شود برای آنکه بتوانید بعد از پایان دوره بارداری از خدمات این بیمه بهره مند شوید، قبل از بارداری برای دریافت آن اقدام نمایید زیرا در صورت آن بعد از بارداری امکان بهره برداری از پوشش های این بیمه را نخواهید داشت.
6,3267a8986f379e6cab59e7e80c482dab,حذف دوره انتظار از بیمه زایمان,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,"The wait time for group health insurance is dependent on the number of people. For example, the wait time is eliminated for companies with more than 1000 employees, but in other cases, there is no possibility to use this insurance without a wait time.",دوره انتظار برای استفاده از پوشش زایمان شرکت های مختلف بیمه چقدر است؟
7,588b1ace401821ea672c926eb6ab01bd,فرانشیز بیمه زایمان چیست؟,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,"When you are pregnant, you will need to pay a premium. This is a percentage of the costs that you will be responsible for. The premiums of different insurance companies can range from 10 to 30 percent, depending on the ceiling of the birth cost.",اگر شرکت بیمه ای برای زایمان شما فرانشیز بیمه پرداخت می کند، باید برای پرداخت هزینه های زایمان خود آمادگی داشته باشید.
8,dc90e660921b26e186aaf111d3536c77,بهترین بیمه تکمیلی برای زایمان کدام است؟,کدام بیمه درمان تکمیلی پوشش بهتری برای زایمان دارد؟,Choose the right insurance for your family.,برای خرید بیمه درمان سامان می توانید به وب سایت xa0بیمه بازار مراجعه کنید و تمامی پوشش ها و هزینه های بیمه درمان سامان را مقایسه کنید.
9,512ef7218d36ddae4eeeaa63a9569931,چه زمانی می‌توانیم از بیمه شخص ثالث و بیمه بدنه به طور همزمان استفاده کنیم؟,شرایط استفاده همزمان از بیمه شخص ثالث مقصر و بیمه بدنه زیان دیده,"When the damage to the damaged vehicle exceeds the financial limit of the insurance coverage of the responsible party, the person whose car was damaged can go to the insurance company to get the difference in the damage. Accidents are liable to the person at any degree and percent. The financial limit of the insurance of the responsible car does not cover the damage to the damaged car. The damaged car must be inspected and assessed by an insurance expert. Note: In such cases, when a car accident occurs, all the relevant documents related to the third party insurance of the responsible party are submitted to the insurance company to be fully paid from the car accident insurance.",برای گرفتن مابه تفاوت خسارت اتومبیل، باید شرایط زیر را داشته باشید:
